#;Operación;Máquina;SAM (min);Minutos Necesarios;Operario 1;Operario 2;Operario 3;Operario 4;Operario 5
1.0;CERRAR LADOS 15CM (FILETEADORA);FILETEADORA;0.91;44.61;44.61;;;;
2.0;FILETEAR RUEDO 100CM RUCHE;FILETEADORA;0.52;25.49;;;;25.49;
3.0;CERRAR LADO 100CM (FIL);FILETEADORA;0.68;33.33;;33.33;;;
4.0;FIJAR MARQUILLA (PLANA);PLANA 1 AGUJA;0.21;10.29;;;10.29;;
5.0;DOBLAR FORMANDO ENCUADRE 5CM LARGO 2 ANCHO;PLANA 1 AGUJA;0.43;21.08;;;;;21.08
6.0;DOBLADILLAR RUEDO DE FALDA 100CM  (RES 2AG);RESORTDORA;0.61;29.90;;;29.90;;
7.0;INTRODUCIR PITILLO;MANUAL;0.32;15.69;;;;;15.69
8.0;INTRODUCIR CHAQUIRAS Y ANUDAR;MANUAL;0.34;16.67;;16.67;;;
9.0;REVISAR PAREO;MANUAL;0.27;13.24;;;;13.24;
10.0;ETIQUETAR PRENDA *2;MANUAL;0.12;5.88;;5.88;;;
11.0;PEGAR STICKER A BOLSA INDIVIDUAL JADE;MANUAL;0.07;3.43;;;;;3.43
12.0;EMPACAR PANTY EN BOLSA INDIVIDUAL;MANUAL;0.13;6.37;;6.37;;;
13.0;EMPACAR PANTY EN CAJA GRANDE;MANUAL;0.01;0.49;;;;0.49;
1.0;PUNTEAR OJAL;MANUAL;0.30;14.71;14.71;;;;
2.0;OJAL;OJALADORA;0.40;19.61;;;;;19.61
3.0;BOTONAR;BOTONADORA;0.40;19.61;;;;19.61;
4.0;PLANCHADO;MANUAL;0.40;19.61;;;19.61;;
