id_distribucion;fecha_guardado;usuario;referencia;cantidad_orden;consecutivo_op;operacion;operario_asignado;minutos_asignados
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;1.0;CERRAR LADOS 15CM (FILETEADORA);1;44.61
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;2.0;FILETEAR RUEDO 100CM RUCHE;4;25.49
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;3.0;CERRAR LADO 100CM (FIL);2;33.33
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;4.0;FIJAR MARQUILLA (PLANA);3;10.29
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;5.0;DOBLAR FORMANDO ENCUADRE 5CM LARGO 2 ANCHO;5;21.08
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;6.0;DOBLADILLAR RUEDO DE FALDA 100CM  (RES 2AG);3;29.9
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;7.0;INTRODUCIR PITILLO;5;15.69
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;8.0;INTRODUCIR CHAQUIRAS Y ANUDAR;2;16.67
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;9.0;REVISAR PAREO;4;13.24
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;10.0;ETIQUETAR PRENDA *2;2;5.88
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;11.0;PEGAR STICKER A BOLSA INDIVIDUAL JADE;5;3.43
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;12.0;EMPACAR PANTY EN BOLSA INDIVIDUAL;2;6.37
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;13.0;EMPACAR PANTY EN CAJA GRANDE;4;0.49
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;1.0;PUNTEAR OJAL;1;14.71
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;2.0;OJAL;5;19.61
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;3.0;BOTONAR;4;19.61
20250910212529-14921;2025-09-10 21:25:29;ADMIN;14921;150;4.0;PLANCHADO;3;19.61
20250910213307-16534;2025-09-10 21:33:07;ADMIN;16534;200;1.0;CERRAR LADOS 15CM (FILETEADORA);4;15.64
